Respondent_ID,Persona_Label,Is_Outlier,Q1_Age_Group,Q2_Gender,Q3_City_Tier,Q4_Occupation,Q5_Monthly_Income,Q6_Shopping_Frequency,Q7_Platforms_Used,Q8_Avg_Order_Spend,Q9_Key_Purchase_Factor,Q10_Returns_Frequency,Q11_Product_Categories,Q12_Colour_Preferences,Q13_Occasions,Q14_Style_Personality,Q15_Ethnic_Wear,Q16_Bundle_Preferences,Q17_Price_Sensitivity,Q18_Social_Platform,Q19_D2C_Purchase_Hist,Q20_Sustainability_Pay,Q21_Ideal_Monthly_Budget,Q21_Budget_Numeric_INR,Q22_Digital_Trust_Score,Q23_Influencer_Purchase,Q24_Market_Gap_Perception,Q25_Purchase_Intent_Raw,Q25_Purchase_Intent_Label
R1406,BudgetStudent,False,18–24,Female,Metro,Student,"Below ₹20,000",,Myntra|Flipkart|Meesho,Below ₹500,Trendy designs,Often,Jeans/Denim|T-shirts|Tops/Blouses|Shorts/Skirts,Bold/Bright|Dark tones,College/Campus|Casual outings|Work-from-home,Trendy/Street style,No – western only,Top+Bottom combo|3 basics for ₹999|Curated outfit box|Ethnic+western bundle|Seasonal wardrobe kit,2.0,YouTube,Yes,No – price matters,₹0,0.0,3.0,No – but tempted,Low fabric quality|Limited ethnic-fusion,Unlikely,Not Interested
R1407,PremiumShopper,False,35–44,Female,Metro,Salaried – Private,Above ₹1.5L,Occasionally,Ajio,"₹2,500–₹5,000",Brand trust|Fabric quality,Sometimes,Tops/Blouses|Dresses|Co-ord sets|Jackets/Blazers|Shorts/Skirts,Neutrals|Bold/Bright|Dark tones,Office/Work|Casual outings|Dates/Parties|Travel|Work-from-home,,No – western only,Co-ord set+Accessories|Curated outfit box,4.0,Instagram,Yes,Haven't thought,"₹5,000–₹10,000",,5.0,Yes – many times,Poor returns/service,Neutral,Neutral
R1408,ProfessionalWoman,False,35–44,Female,Tier-1,Salaried – Private,"₹75,000–₹1.5L",Frequently,Myntra|Amazon|Meesho|Brand website|Instagram/Social,"Above ₹5,000",Brand trust|Fabric quality,Often,Jeans/Denim|T-shirts|Tops/Blouses|Dresses|Co-ord sets|Jackets/Blazers,Neutrals|Dark tones|Earth tones,Office/Work|Casual outings|Dates/Parties|Festivals|Gym/Workout|Work-from-home,Minimalist,I buy both equally,Top+Bottom combo|Co-ord set+Accessories|Curated outfit box|Ethnic+western bundle|Seasonal wardrobe kit,5.0,Instagram,Yes,Definitely yes,"₹5,000–₹10,000",8970.0,1.0,No – but tempted,Low fabric quality|Limited ethnic-fusion,Very likely,Interested
R1409,BudgetStudent,False,18–24,Male,Tier-1,Self-employed,"₹40,000–₹75,000",Frequently,Myntra|Amazon|Meesho|Brand website|Instagram/Social,"₹500–₹1,000",Price/Discounts|Trendy designs,Rarely,Jeans/Denim|T-shirts|Activewear,Bold/Bright|Prints & Patterns,College/Campus|Casual outings|Gym/Workout,Trendy/Street style,No – western only,Top+Bottom combo|3 basics for ₹999|Ethnic+western bundle,2.0,Instagram,No,Definitely yes,"₹1,000–₹2,500",1660.0,1.0,Yes – many times,Poor size range,Somewhat likely,Interested
R1410,TrendyUrban,False,25–34,Female,Metro,Student,"₹20,000–₹40,000",Frequently,Myntra|Ajio|Amazon|Instagram/Social,"₹2,500–₹5,000",Price/Discounts|Fabric quality,Often,T-shirts|Dresses|Co-ord sets|Jackets/Blazers|Shorts/Skirts,Pastels|Dark tones|Earth tones,Casual outings|Festivals|Work-from-home,Minimalist,Yes – occasionally,Co-ord set+Accessories|Curated outfit box|Ethnic+western bundle|Seasonal wardrobe kit,2.0,Instagram,Not aware,Maybe – if quality is great,"₹2,500–₹5,000",3620.0,4.0,No – but tempted,Poor size range|Limited ethnic-fusion,Very likely,Interested
R1411,BudgetStudent,False,18–24,Male,Metro,Student,"Below ₹20,000",Occasionally,Myntra|Ajio|Amazon|Meesho,"₹1,000–₹2,500",Price/Discounts|Brand trust,Sometimes,Jeans/Denim|T-shirts|Co-ord sets|Jackets/Blazers|Activewear,Dark tones|Prints & Patterns,College/Campus|Casual outings|Dates/Parties|Travel|Work-from-home,Boho/Free-spirited,No – western only,Top+Bottom combo|3 basics for ₹999,2.0,Instagram,No,Maybe – if quality is great,"₹1,000–₹2,500",2140.0,3.0,Yes – many times,High prices,Neutral,Neutral
R1412,BudgetStudent,False,,Female,Tier-2,Student,"Below ₹20,000",Rarely,Myntra|Amazon|Meesho,"₹500–₹1,000",Price/Discounts|Brand trust,Never,T-shirts|Tops/Blouses|Activewear,Bold/Bright|Dark tones,College/Campus|Travel|Work-from-home,Ethnic-Western Fusion,Yes – occasionally,Top+Bottom combo|3 basics for ₹999,2.0,WhatsApp/Friends,Yes,No – price matters,₹0,40.0,5.0,No – but tempted,Designs not India-appropriate|High prices,Very likely,Interested
R1413,TrendyUrban,False,25–34,Female,Metro,Salaried – Private,"₹20,000–₹40,000",Very frequently,Myntra|Amazon|Brand website,Below ₹500,Price/Discounts,Sometimes,Jeans/Denim|Co-ord sets|Jackets/Blazers|Activewear,Neutrals|Dark tones|Earth tones,Office/Work|Casual outings|Dates/Parties|Travel|Gym/Workout,Trendy/Street style,No – western only,Co-ord set+Accessories|Curated outfit box|Seasonal wardrobe kit,4.0,YouTube,Yes,Maybe – if quality is great,"₹500–₹1,000",830.0,3.0,Yes – once or twice,Low fabric quality|Designs not India-appropriate,Somewhat likely,Interested
R1414,ProfessionalWoman,False,35–44,Female,Tier-3 / Rural,Salaried – Private,Above ₹1.5L,Rarely,Myntra|Amazon|Flipkart,"₹2,500–₹5,000",Fabric quality|Easy returns,Sometimes,Jeans/Denim|T-shirts|Dresses|Co-ord sets|Ethnic-Western Fusion,Neutrals,Office/Work|Dates/Parties|Festivals|Travel|Work-from-home,Classic/Formal,Yes – regularly,3 basics for ₹999|Curated outfit box|Ethnic+western bundle,3.0,Instagram,,Maybe – if quality is great,"₹5,000–₹10,000",9620.0,5.0,No – but tempted,Poor size range|Limited ethnic-fusion,Very likely,Interested
R1415,BudgetStudent,False,18–24,Female,Metro,Student,"₹20,000–₹40,000",Frequently,Myntra|Ajio,"₹500–₹1,000",Brand trust,Sometimes,Jeans/Denim|Co-ord sets|Shorts/Skirts|Ethnic-Western Fusion,Neutrals|Bold/Bright|Dark tones,College/Campus|Casual outings|Dates/Parties,Minimalist,Yes – regularly,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999,1.0,YouTube,No,No – price matters,"₹1,000–₹2,500",1560.0,2.0,No – but tempted,Poor size range|Designs not India-appropriate,Unlikely,Not Interested
R1416,TrendyUrban,True,18–24,Male,Metro,Student,Above ₹1.5L,Very frequently,Myntra|Flipkart|Instagram/Social,"₹1,000–₹2,500",Price/Discounts|Brand trust,Sometimes,Jeans/Denim|Tops/Blouses|Dresses|Co-ord sets|Shorts/Skirts|Activewear|Ethnic-Western Fusion,Neutrals|Bold/Bright|Dark tones,Casual outings|Dates/Parties|Travel,Minimalist,Yes – occasionally,Top+Bottom combo|Co-ord set+Accessories|Ethnic+western bundle|Seasonal wardrobe kit,1.0,Instagram,Not aware,Definitely yes,"₹1,000–₹2,500",,1.0,Yes – many times,Poor returns/service,Unlikely,
R1417,ProfessionalWoman,False,45–54,Female,Metro,Salaried – Private,"₹75,000–₹1.5L",Frequently,Ajio|Flipkart,"₹2,500–₹5,000",Brand trust|Easy returns,Often,Tops/Blouses|Jackets/Blazers,Neutrals|Dark tones|Prints & Patterns,Office/Work|Gym/Workout|Work-from-home,Classic/Formal,Yes – occasionally,Top+Bottom combo|Co-ord set+Accessories,3.0,WhatsApp/Friends,No,Maybe – if quality is great,,1770.0,3.0,Yes – once or twice,Low fabric quality|Designs not India-appropriate,Somewhat likely,Interested
R1418,BudgetStudent,False,18–24,Female,Metro,Salaried – Private,"₹40,000–₹75,000",Rarely,Myntra|Ajio|Flipkart,"₹500–₹1,000",Price/Discounts|Trendy designs,Often,Jeans/Denim|T-shirts|Tops/Blouses,Neutrals|Bold/Bright|Dark tones,College/Campus|Festivals|Travel|Gym/Workout,Boho/Free-spirited,Yes – regularly,Top+Bottom combo|3 basics for ₹999|Curated outfit box,4.0,YouTube,Yes,Definitely yes,"₹500–₹1,000",800.0,2.0,Yes – once or twice,High prices,Somewhat likely,Interested
R1419,PremiumShopper,False,35–44,Female,Tier-1,Salaried – Private,"₹75,000–₹1.5L",Frequently,Myntra|Ajio,"Above ₹5,000",Fabric quality|Trendy designs,Sometimes,Jeans/Denim|Tops/Blouses|Co-ord sets|Jackets/Blazers|Activewear|Ethnic-Western Fusion,Neutrals|Pastels|Dark tones,Office/Work|Dates/Parties|Travel,Minimalist,Yes – regularly,Co-ord set+Accessories|Curated outfit box|Seasonal wardrobe kit,3.0,None,Yes,Maybe – if quality is great,"₹2,500–₹5,000",4560.0,4.0,No – but tempted,Poor size range,Neutral,Neutral
R1420,BudgetStudent,False,Under 18,Male,Tier-1,Student,"₹40,000–₹75,000",Occasionally,Meesho|Brand website|Instagram/Social,"₹500–₹1,000",Price/Discounts|Fabric quality,Sometimes,Jeans/Denim|T-shirts|Co-ord sets|Jackets/Blazers|Shorts/Skirts,Dark tones|Prints & Patterns,College/Campus|Casual outings|Dates/Parties|Travel,Boho/Free-spirited,Yes – occasionally,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999|Curated outfit box,2.0,Instagram,Yes,Haven't thought,,1900.0,2.0,Yes – many times,Poor size range|Low fabric quality,Somewhat likely,Interested
R1421,TrendyUrban,False,18–24,Male,Tier-3 / Rural,Salaried – Private,Above ₹1.5L,Frequently,Myntra|Ajio|Amazon|Meesho,"₹1,000–₹2,500",Price/Discounts|Fabric quality,Rarely,Tops/Blouses|Co-ord sets|Activewear,Neutrals|Prints & Patterns|Earth tones,College/Campus|Dates/Parties|Festivals|Travel|Gym/Workout,Boho/Free-spirited,No – western only,Co-ord set+Accessories|3 basics for ₹999,4.0,Instagram,Yes,No – price matters,"₹2,500–₹5,000",4040.0,3.0,No – but tempted,Low fabric quality|Limited ethnic-fusion,Somewhat likely,Interested
R1422,TrendyUrban,False,25–34,Female,Metro,Self-employed,"₹40,000–₹75,000",Frequently,Myntra|Ajio|Instagram/Social,"₹1,000–₹2,500",Price/Discounts|Fabric quality,Rarely,Jeans/Denim|Tops/Blouses|Dresses|Co-ord sets|Jackets/Blazers|Shorts/Skirts,Neutrals|Pastels|Earth tones,College/Campus|Office/Work|Casual outings|Dates/Parties|Festivals|Travel|Gym/Workout|Work-from-home,Minimalist,Yes – regularly,Top+Bottom combo|Co-ord set+Accessories|Curated outfit box,3.0,Instagram,Yes,Haven't thought,"₹2,500–₹5,000",4320.0,4.0,Yes – many times,Poor size range|Designs not India-appropriate,Very likely,Interested
R1423,PremiumShopper,False,35–44,Male,Metro,,"₹20,000–₹40,000",Occasionally,Amazon|Flipkart|Instagram/Social,"Above ₹5,000",Brand trust|Trendy designs,Sometimes,Jeans/Denim|Co-ord sets|Activewear|Ethnic-Western Fusion,Neutrals|Prints & Patterns|Earth tones,Office/Work|Casual outings|Dates/Parties|Festivals|Travel|Gym/Workout,Minimalist,I buy both equally,Top+Bottom combo|3 basics for ₹999|Curated outfit box|Ethnic+western bundle,5.0,None,Not aware,Maybe – if quality is great,"₹5,000–₹10,000",7140.0,4.0,Yes – once or twice,Limited ethnic-fusion,Very likely,Interested
R1424,ProfessionalWoman,False,25–34,Female,Metro,Salaried – Private,"₹20,000–₹40,000",Very frequently,Meesho,"₹2,500–₹5,000",Easy returns|Fast delivery,Rarely,Dresses,Neutrals|Dark tones|Prints & Patterns,Office/Work|Casual outings|Dates/Parties|Festivals|Travel|Gym/Workout|Work-from-home,Ethnic-Western Fusion,Yes – regularly,Ethnic+western bundle|Seasonal wardrobe kit,4.0,YouTube,,Maybe – if quality is great,"₹5,000–₹10,000",6680.0,,Yes – once or twice,Designs not India-appropriate|High prices,Very likely,Interested
R1425,TrendyUrban,False,25–34,Female,Tier-1,Salaried – Private,"Below ₹20,000",Occasionally,Myntra|Ajio|Flipkart,"₹500–₹1,000",Brand trust,Very often,Jeans/Denim|Tops/Blouses|Dresses|Co-ord sets|Shorts/Skirts,Pastels|Bold/Bright|Prints & Patterns,Casual outings|Dates/Parties,Boho/Free-spirited,Yes – regularly,Co-ord set+Accessories|Curated outfit box|Seasonal wardrobe kit,3.0,Instagram,No,Maybe – if quality is great,"₹5,000–₹10,000",6480.0,4.0,Yes – once or twice,Poor size range|High prices,Very likely,Interested
R1426,TrendyUrban,False,18–24,Male,Tier-1,Salaried – Private,"₹20,000–₹40,000",Very frequently,Myntra|Ajio|Instagram/Social,"₹1,000–₹2,500",Easy returns,,Jeans/Denim|T-shirts|Tops/Blouses|Ethnic-Western Fusion,Neutrals|Bold/Bright|Earth tones,Casual outings|Dates/Parties|Work-from-home,Trendy/Street style,I buy both equally,Top+Bottom combo|Co-ord set+Accessories|Curated outfit box|Seasonal wardrobe kit,2.0,Instagram,Yes,No – price matters,"₹2,500–₹5,000",2710.0,4.0,Yes – many times,Poor size range|Low fabric quality,Somewhat likely,Interested
R1427,ProfessionalWoman,False,25–34,Female,Tier-3 / Rural,Homemaker,"₹40,000–₹75,000",Frequently,,"₹1,000–₹2,500",Brand trust|Fabric quality,Sometimes,T-shirts|Tops/Blouses,Pastels|Bold/Bright|Prints & Patterns,Casual outings|Dates/Parties|Travel,Classic/Formal,Yes – occasionally,Co-ord set+Accessories,3.0,Instagram,No,Maybe – if quality is great,"₹2,500–₹5,000",4840.0,2.0,Yes – once or twice,Low fabric quality|Limited ethnic-fusion,Somewhat likely,Interested
R1428,PremiumShopper,True,45–54,Female,Metro,Self-employed,"₹75,000–₹1.5L",Occasionally,Myntra|Ajio,"Above ₹5,000",Brand trust|Fabric quality,Often,T-shirts|Co-ord sets|Jackets/Blazers,Neutrals|Bold/Bright|Dark tones,Office/Work|Casual outings|Festivals|Travel|Gym/Workout|Work-from-home,Trendy/Street style,I buy both equally,Co-ord set+Accessories|Curated outfit box|Seasonal wardrobe kit,1.0,None,Yes,Maybe – if quality is great,"₹5,000–₹10,000",0.0,1.0,No – but tempted,Low fabric quality|Limited ethnic-fusion,Somewhat likely,Interested
R1429,TrendyUrban,False,18–24,Female,Metro,Student,"₹40,000–₹75,000",Very frequently,Myntra|Amazon|Meesho|Instagram/Social,"₹1,000–₹2,500",Trendy designs,Rarely,T-shirts|Tops/Blouses|Dresses|Ethnic-Western Fusion,Neutrals|Pastels|Bold/Bright,Casual outings|Dates/Parties|Gym/Workout,Sporty/Athleisure,Yes – regularly,Co-ord set+Accessories|Curated outfit box|Ethnic+western bundle|Seasonal wardrobe kit,2.0,Instagram,No,Maybe – if quality is great,"₹2,500–₹5,000",3630.0,5.0,Yes – many times,Poor returns/service,Very likely,Interested
R1430,BudgetStudent,False,18–24,Female,Metro,Salaried – Private,"Below ₹20,000",,Myntra|Meesho,Below ₹500,Price/Discounts|Brand trust,Sometimes,Jeans/Denim,Earth tones,College/Campus|Casual outings|Dates/Parties,Trendy/Street style,Yes – occasionally,Top+Bottom combo|3 basics for ₹999|Curated outfit box,5.0,Instagram,No,No – price matters,"₹500–₹1,000",700.0,1.0,No – but tempted,Limited ethnic-fusion,Very likely,Interested
R1431,HousewifeTier2,False,25–34,Male,Tier-2,Freelancer,"₹20,000–₹40,000",Very frequently,Myntra|Amazon|Meesho|Instagram/Social,"₹2,500–₹5,000",Brand trust|Fabric quality,Rarely,Jeans/Denim|Shorts/Skirts,Dark tones|Prints & Patterns,Casual outings|Festivals|Work-from-home,Ethnic-Western Fusion,Yes – regularly,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999|Ethnic+western bundle,2.0,Instagram,No,No – price matters,"₹500–₹1,000",800.0,2.0,No – but tempted,Designs not India-appropriate|Limited ethnic-fusion,Somewhat likely,Interested
R1432,TrendyUrban,False,25–34,,Tier-1,Salaried – Private,"₹20,000–₹40,000",Frequently,Myntra|Amazon|Flipkart|Meesho|Instagram/Social,"Above ₹5,000",Brand trust|Easy returns,Sometimes,T-shirts|Tops/Blouses,Prints & Patterns,Office/Work|Casual outings|Travel|Work-from-home,Classic/Formal,No – western only,,5.0,Instagram,Not aware,,"₹500–₹1,000",890.0,4.0,Yes – many times,Poor size range|Designs not India-appropriate,Definitely not,Not Interested
R1433,ProfessionalWoman,False,35–44,Female,Tier-2,Freelancer,"₹75,000–₹1.5L",Never,Flipkart|Meesho,"₹1,000–₹2,500",Fabric quality|Easy returns,Never,,Neutrals|Earth tones,Office/Work|Work-from-home,Trendy/Street style,Yes – occasionally,Co-ord set+Accessories|Curated outfit box,1.0,WhatsApp/Friends,Yes,Maybe – if quality is great,"₹5,000–₹10,000",8340.0,5.0,Yes – once or twice,Designs not India-appropriate|Poor returns/service,Neutral,Neutral
R1434,ProfessionalWoman,False,25–34,Female,Metro,Homemaker,"₹20,000–₹40,000",Rarely,Myntra|Amazon|Flipkart|Brand website,"₹1,000–₹2,500",Brand trust|Trendy designs,Rarely,T-shirts|Tops/Blouses|Co-ord sets|Ethnic-Western Fusion,Neutrals|Dark tones|Prints & Patterns,Office/Work|Casual outings|Dates/Parties|Festivals|Travel|Gym/Workout|Work-from-home,Classic/Formal,Yes – occasionally,Co-ord set+Accessories,3.0,Instagram,,Maybe – if quality is great,"₹1,000–₹2,500",1580.0,3.0,No – but tempted,Low fabric quality|Designs not India-appropriate,Very likely,Interested
R1435,HousewifeTier2,False,,Female,Tier-1,Homemaker,"₹20,000–₹40,000",Frequently,Meesho,"Above ₹5,000",Fabric quality|Easy returns,Sometimes,Activewear|Ethnic-Western Fusion,Neutrals|Dark tones,,Trendy/Street style,Yes – regularly,Top+Bottom combo|3 basics for ₹999|Curated outfit box,1.0,YouTube,Not aware,Haven't thought,"₹500–₹1,000",720.0,2.0,No – but tempted,Low fabric quality|High prices,Somewhat likely,Interested
R1436,ProfessionalWoman,False,35–44,Female,Tier-1,Freelancer,Above ₹1.5L,Frequently,Myntra,"₹2,500–₹5,000",Price/Discounts|Brand trust,Sometimes,Jeans/Denim|Tops/Blouses|Dresses|Co-ord sets|Jackets/Blazers|Shorts/Skirts,Pastels,Office/Work|Dates/Parties|Festivals|Travel,Sporty/Athleisure,Yes – occasionally,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999|Curated outfit box|Seasonal wardrobe kit,4.0,YouTube,Not aware,No – price matters,"₹2,500–₹5,000",3900.0,5.0,No – but tempted,Low fabric quality|Limited ethnic-fusion,Somewhat likely,Interested
R1437,TrendyUrban,False,35–44,Female,Tier-2,Salaried – Private,"₹40,000–₹75,000",Occasionally,Myntra|Instagram/Social,"₹2,500–₹5,000",Price/Discounts|Brand trust,Rarely,Jeans/Denim|T-shirts|Tops/Blouses|Co-ord sets,Neutrals|Pastels|Bold/Bright,Office/Work|Casual outings|Dates/Parties|Travel|Work-from-home,Trendy/Street style,Yes – occasionally,Co-ord set+Accessories|3 basics for ₹999|Ethnic+western bundle|Seasonal wardrobe kit,3.0,YouTube,Yes,Haven't thought,"₹5,000–₹10,000",7260.0,5.0,Yes – once or twice,Poor size range|Low fabric quality,Very likely,Interested
R1438,BudgetStudent,False,18–24,Female,Tier-2,Student,"Below ₹20,000",Occasionally,Myntra|Meesho,"₹1,000–₹2,500",Price/Discounts|Fabric quality,Sometimes,Jeans/Denim|T-shirts|Tops/Blouses|Dresses|Jackets/Blazers|Shorts/Skirts|Activewear,Bold/Bright|Prints & Patterns,College/Campus|Casual outings|Travel,Minimalist,Yes – occasionally,Co-ord set+Accessories|3 basics for ₹999|Seasonal wardrobe kit,3.0,Instagram,No,No – price matters,"₹2,500–₹5,000",4600.0,1.0,Yes – once or twice,Low fabric quality|High prices,Somewhat likely,Interested
R1439,TrendyUrban,False,25–34,Female,Metro,Salaried – Private,"₹40,000–₹75,000",Frequently,Ajio|Instagram/Social,"₹2,500–₹5,000",Brand trust,Sometimes,Jeans/Denim|Tops/Blouses|Dresses|Activewear,Neutrals|Pastels|Bold/Bright,Office/Work|Casual outings|Festivals|Travel|Work-from-home,Minimalist,No – western only,3 basics for ₹999|Curated outfit box,3.0,Instagram,No,Maybe – if quality is great,"₹5,000–₹10,000",7980.0,3.0,Yes – many times,Poor size range|Low fabric quality,Definitely not,Not Interested
R1440,HousewifeTier2,False,55+,Female,Tier-3 / Rural,Homemaker,"₹20,000–₹40,000",Rarely,Ajio|Amazon|Flipkart|Meesho,"Above ₹5,000",Price/Discounts|Fabric quality,Never,Tops/Blouses|Dresses|Ethnic-Western Fusion,Neutrals|Pastels|Prints & Patterns,Casual outings|Dates/Parties|Festivals|Work-from-home,Classic/Formal,Yes – occasionally,Top+Bottom combo|3 basics for ₹999,,WhatsApp/Friends,Not aware,Haven't thought,"₹1,000–₹2,500",1960.0,4.0,Yes – many times,Low fabric quality,Unlikely,
R1441,BudgetStudent,False,25–34,Male,Tier-2,Salaried – Govt.,"₹20,000–₹40,000",Occasionally,Flipkart,"₹1,000–₹2,500",Easy returns,Often,Jeans/Denim|T-shirts|Tops/Blouses|Co-ord sets|Shorts/Skirts|Activewear,Pastels|Bold/Bright|Dark tones,,Boho/Free-spirited,Yes – occasionally,,1.0,,Yes,Definitely yes,"₹1,000–₹2,500",1940.0,3.0,Yes – once or twice,Low fabric quality|Designs not India-appropriate,Neutral,Neutral
R1442,HousewifeTier2,False,25–34,Female,Tier-3 / Rural,Self-employed,"Below ₹20,000",Never,Meesho,"₹500–₹1,000",Trendy designs|Easy returns,Never,T-shirts|Tops/Blouses|Co-ord sets|Shorts/Skirts|Ethnic-Western Fusion,Pastels|Bold/Bright|Prints & Patterns,,Ethnic-Western Fusion,Yes – regularly,3 basics for ₹999,1.0,YouTube,Not aware,No – price matters,"₹1,000–₹2,500",2090.0,3.0,No – but tempted,Low fabric quality|Designs not India-appropriate,Definitely not,Not Interested
R1443,TrendyUrban,False,18–24,Female,Tier-1,Salaried – Private,"₹40,000–₹75,000",Frequently,Myntra,"₹2,500–₹5,000",Brand trust|Fabric quality,Very often,Jeans/Denim|T-shirts|Tops/Blouses|Dresses|Co-ord sets|Jackets/Blazers|Shorts/Skirts|Ethnic-Western Fusion,Pastels|Bold/Bright,Office/Work|Dates/Parties|Festivals|Work-from-home,Trendy/Street style,Yes – occasionally,Co-ord set+Accessories|3 basics for ₹999|Ethnic+western bundle|Seasonal wardrobe kit,2.0,Instagram,Not aware,No – price matters,"₹500–₹1,000",,2.0,Yes – many times,Poor size range|Low fabric quality,,Interested
R1444,ProfessionalWoman,False,25–34,Female,Tier-3 / Rural,Homemaker,Above ₹1.5L,Frequently,Amazon|Flipkart|Brand website,"Above ₹5,000",Fabric quality|Fast delivery,Sometimes,Jeans/Denim|Tops/Blouses|Ethnic-Western Fusion,Dark tones|Earth tones,Office/Work|Casual outings|Dates/Parties|Travel|Gym/Workout|Work-from-home,Classic/Formal,Yes – regularly,Top+Bottom combo|3 basics for ₹999|Curated outfit box|Seasonal wardrobe kit,3.0,WhatsApp/Friends,Not aware,Maybe – if quality is great,"₹2,500–₹5,000",3060.0,5.0,No – never,Poor size range|Low fabric quality,Somewhat likely,Interested
R1445,ProfessionalWoman,False,35–44,Female,Tier-1,Salaried – Private,"₹20,000–₹40,000",Frequently,Myntra,"₹2,500–₹5,000",Brand trust|Fabric quality,Sometimes,Co-ord sets|Jackets/Blazers,Dark tones|Earth tones,Dates/Parties|Travel|Gym/Workout|Work-from-home,Classic/Formal,I buy both equally,Co-ord set+Accessories|Curated outfit box|Ethnic+western bundle,4.0,Pinterest,Yes,Maybe – if quality is great,"₹1,000–₹2,500",1870.0,4.0,No – but tempted,Low fabric quality|Poor returns/service,Somewhat likely,Interested
R1446,HousewifeTier2,False,55+,Female,Tier-3 / Rural,Homemaker,"₹20,000–₹40,000",Never,Amazon|Flipkart|Meesho,"₹2,500–₹5,000",Price/Discounts|Fabric quality,,T-shirts|Dresses|Ethnic-Western Fusion,Pastels|Prints & Patterns,Casual outings|Dates/Parties|Festivals|Travel|Work-from-home,Minimalist,Yes – occasionally,Co-ord set+Accessories|Ethnic+western bundle,3.0,None,No,Definitely yes,"₹500–₹1,000",640.0,2.0,No – never,Designs not India-appropriate|Limited ethnic-fusion,Somewhat likely,Interested
R1447,BudgetStudent,False,Under 18,Male,,Student,"₹20,000–₹40,000",Occasionally,Myntra|Flipkart,"₹500–₹1,000",Price/Discounts|Easy returns,Never,Jeans/Denim|T-shirts|Tops/Blouses|Dresses|Shorts/Skirts|Activewear|Ethnic-Western Fusion,Pastels,College/Campus|Casual outings|Dates/Parties|Festivals,Trendy/Street style,No – western only,Top+Bottom combo|3 basics for ₹999,2.0,Instagram,Not aware,Maybe – if quality is great,"₹1,000–₹2,500",1600.0,4.0,Yes – once or twice,Low fabric quality|Limited ethnic-fusion,Somewhat likely,Interested
R1448,HousewifeTier2,False,35–44,Female,Tier-1,Homemaker,"Below ₹20,000",Rarely,Flipkart|Meesho,Below ₹500,Brand trust|Easy returns,Rarely,Tops/Blouses|Co-ord sets|Ethnic-Western Fusion,Neutrals|Pastels|Prints & Patterns,Festivals|Travel|Work-from-home,Trendy/Street style,Yes – regularly,Curated outfit box|Ethnic+western bundle,3.0,,No,Haven't thought,"₹500–₹1,000",850.0,1.0,No – but tempted,Poor size range|Low fabric quality,,
R1449,TrendyUrban,False,25–34,Female,Metro,Salaried – Govt.,"₹75,000–₹1.5L",Frequently,Myntra|Ajio,"₹2,500–₹5,000",Trendy designs|Fast delivery,Never,Jeans/Denim|T-shirts|Tops/Blouses|Co-ord sets|Jackets/Blazers|Activewear,Bold/Bright|Dark tones|Prints & Patterns,,Minimalist,No – western only,Co-ord set+Accessories|Ethnic+western bundle,4.0,Pinterest,No,No – price matters,"₹500–₹1,000",960.0,5.0,Yes – many times,Poor size range|Designs not India-appropriate,Somewhat likely,Interested
R1450,TrendyUrban,False,18–24,Female,Tier-1,Salaried – Private,"₹40,000–₹75,000",Very frequently,Myntra|Ajio|Amazon|Instagram/Social,"₹2,500–₹5,000",Trendy designs|Easy returns,Rarely,Jeans/Denim|Dresses|Jackets/Blazers|Ethnic-Western Fusion,Neutrals|Prints & Patterns,Casual outings|Dates/Parties|Travel|Work-from-home,,,Curated outfit box,3.0,Instagram,Not aware,Maybe – if quality is great,₹0,0.0,4.0,Yes – once or twice,Limited ethnic-fusion,Definitely not,Not Interested
R1451,BudgetStudent,False,25–34,Male,Tier-2,Self-employed,"Below ₹20,000",Occasionally,,"₹500–₹1,000",Price/Discounts|Brand trust,Sometimes,Jeans/Denim|T-shirts|Tops/Blouses,Pastels|Bold/Bright,College/Campus,,No – western only,Co-ord set+Accessories|3 basics for ₹999,5.0,Instagram,Yes,No – price matters,"₹500–₹1,000",800.0,3.0,Yes – many times,Poor size range|Designs not India-appropriate,Somewhat likely,Interested
R1452,BudgetStudent,False,18–24,Female,Tier-2,Student,"Below ₹20,000",Occasionally,Amazon|Meesho,"₹500–₹1,000",Price/Discounts|Fabric quality,Rarely,T-shirts|Tops/Blouses|Jackets/Blazers|Ethnic-Western Fusion,Neutrals|Prints & Patterns,College/Campus|Gym/Workout,Boho/Free-spirited,Yes – regularly,3 basics for ₹999,2.0,WhatsApp/Friends,Not aware,No – price matters,"₹500–₹1,000",1040.0,2.0,Yes – many times,Designs not India-appropriate,Somewhat likely,Interested
